Fecha,Dia_Compra,Mes_Compra,Anio_Compra,Categoria,Subcategoria,Descripcion,Gatos,Medio_Pago,Cuotas,Monto_Total,Local_Plataforma,Notas
2021-11-06,6.0,11.0,2021.0,Accesorio,Litera/baño,Litera para gatos,Todos,Efectivo,1.0,6800.0,Pet shop,Comprada al llegar Isi y Micky
2021-12-05,5.0,12.0,2021.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-01-08,8.0,1.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-02-05,5.0,2.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-03-06,6.0,3.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-04-03,3.0,4.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-05-07,7.0,5.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Isi y Micky,Isi y Micky,Débito,1.0,16000.0,Veterinaria,2 gatos x $8000 c/u
2022-05-10,10.0,5.0,2022.0,Veterinaria,Castración,Castración Micky (macho),Micky,Débito,1.0,35000.0,Veterinaria,
2022-11-06,6.0,11.0,2022.0,Veterinaria,Vacuna,Vacuna anual — Isi y Micky,Isi y Micky,Débito,1.0,46000.0,Veterinaria,2 gatos x $1.800 c/u
2022-11-06,6.0,11.0,2022.0,Higiene,Pipeta antiparasitaria,Pipetas antiparasitarias x4 — Isi y Micky,Isi y Micky,Débito,1.0,28000.0,Veterinaria/farmacia,4 pipetas marca habitual
2022-11-14,14.0,11.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2022-12-12,12.0,12.0,2022.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2023-01-09,9.0,1.0,2023.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2023-02-06,6.0,2.0,2023.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2023-03-06,6.0,3.0,2023.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2023-04-03,3.0,4.0,2023.0,Veterinaria,Consulta,Consulta veterinaria — Kendra y Ron,Kendra y Ron,Débito,1.0,24000.0,Veterinaria,2 gatos x $12000 c/u
2023-04-15,15.0,4.0,2023.0,Veterinaria,Castración,Castración Ron (macho),Ron,Efectivo,1.0,55000.0,Veterinaria,
2023-06-20,20.0,6.0,2023.0,Veterinaria,Castración,Castración Kendra (hembra),Kendra,Efectivo,1.0,75000.0,Veterinaria,"Hembra, costo mayor por cirugía"
2023-07-05,5.0,7.0,2023.0,Accesorio,Bebedero,Bebedero automático 1.6L con margarita,Todos,Tarjeta,1.0,22390.0,Mercado Libre,No adjunto FC en ML
2023-10-06,6.0,10.0,2023.0,Higiene,Arena sanitaria,Piedras sanitarias Sanicat 21kg,Todos,Tarjeta,1.0,15990.0,Mercado Libre,FCB-00002-00219976
2023-10-14,14.0,10.0,2023.0,Veterinaria,Vacuna,Vacuna anual — Kendra y Ron,Kendra y Ron,Débito,1.0,70000.0,Veterinaria,2 gatos x $3.500 c/u
2023-10-14,14.0,10.0,2023.0,Higiene,Pipeta antiparasitaria,Pipetas antiparasitarias x4 — Kendra y Ron,Kendra y Ron,Débito,1.0,10400.0,Veterinaria/farmacia,4 pipetas marca habitual
2023-11-02,2.0,11.0,2023.0,Higiene,Arena sanitaria,Piedras sanitarias Sanicat 21kg,Todos,Tarjeta,1.0,15990.0,Mercado Libre,No adjunto FC en ML
2023-11-05,5.0,11.0,2023.0,Veterinaria,Vacuna,Vacuna anual — Isi y Micky,Isi y Micky,Débito,1.0,70000.0,Veterinaria,2 gatos x $3.500 c/u
2023-11-05,5.0,11.0,2023.0,Higiene,Pipeta antiparasitaria,Pipetas antiparasitarias x4 — Isi y Micky,Isi y Micky,Débito,1.0,10400.0,Veterinaria/farmacia,4 pipetas marca habitual
2023-12-02,2.0,12.0,2023.0,Higiene,Arena sanitaria,Piedras sanitarias Sanicat 21kg,Todos,Tarjeta,1.0,15990.0,Mercado Libre,FCB.0016-00001730
2024-02-09,9.0,2.0,2024.0,Higiene,Arena sanitaria,Arena sanitaria Monkcat Bentonita Aglomerante 4kg x5 bolsas,Todos,Tarjeta,1.0,11755.0,Mercado Libre,FCB-00007-00080007
2024-03-06,6.0,3.0,2024.0,Higiene,Arena sanitaria,Arena sanitaria Monkcat Bentonita Aglomerante 4kg x5 bolsas,Todos,Tarjeta,1.0,10181.0,Mercado Libre,No adjunto FC en ML
2024-03-15,15.0,3.0,2024.0,Accesorio,Bebedero,Bomba de agua sumergible para bebedero,Todos,Tarjeta,1.0,13915.0,Mercado Libre,FCB-0013-00029093
2024-04-10,10.0,4.0,2024.0,Accesorio,Baño,Cat It — alfombra para baño sanitario,Todos,Tarjeta,1.0,8500.0,Mercado Libre,FCB-00006-00028313
2024-10-13,13.0,10.0,2024.0,Veterinaria,Vacuna,Vacuna anual — Kendra y Ron,Kendra y Ron,Débito,1.0,80000.0,Veterinaria,2 gatos x $9.000 c/u
2024-10-13,13.0,10.0,2024.0,Higiene,Pipeta antiparasitaria,Pipetas antiparasitarias x4 — Kendra y Ron,Kendra y Ron,Débito,1.0,28000.0,Veterinaria/farmacia,4 pipetas marca habitual
2024-11-03,3.0,11.0,2024.0,Veterinaria,Vacuna,Vacuna anual — Isi y Micky,Isi y Micky,Débito,1.0,80000.0,Veterinaria,2 gatos x $9.000 c/u
2024-11-03,3.0,11.0,2024.0,Higiene,Pipeta antiparasitaria,Pipetas antiparasitarias x4 — Isi y Micky,Isi y Micky,Débito,1.0,28000.0,Veterinaria/farmacia,4 pipetas marca habitual
2022-02-08,8.0,2.0,2022.0,Higiene,Baño,"Rubricat Premium Arena Aglomerante  Pack  11,4kg",Todos,Tarjeta,1.0,3000.0,ML,FCB-0004-00157298
2022-02-24,24.0,2.0,2022.0,Higiene,Baño,"Rubricat Premium Arena Aglomerante  Pack  11,4kg",Todos,Tarjeta,1.0,3000.0,ML,FCB-0004-00155261
2022-09-16,16.0,9.0,2022.0,Higiene,Baño,Piedras Sanitarias    20kg,Todos,Tarjeta,1.0,2990.0,ML,FCB-0005-00117795
2023-01-11,11.0,1.0,2023.0,Vet ,Vitaminas,Recovery Royal Canin Gato,Todos,Tarjeta,1.0,3663.99,ML,FCB-00011-00012098
2023-07-05,5.0,7.0,2023.0,Accesorio,Bebedero,Bebededo automatico de 1.6 L con margarita,Todos,Tarjeta,1.0,22390.0,ML,No Adjunto la fc en ML
2023-10-06,6.0,10.0,2023.0,Higiene,Baño,Piedras Sanitarias    Sanicat   21kg,Todos,Tarjeta,1.0,15990.0,ML,FCB-00002-00219976
2023-11-02,2.0,11.0,2023.0,Higiene,Baño,Piedras Sanitarias    Sanicat   21kg,Todos,Tarjeta,1.0,15990.0,ML,No Adjunto la fc en ML
