Fecha,Mes,Anio,Precio_total
nov-21,11,2021,1380
dic-21,12,2021,1200
ene-22,1,2022,1200
feb-22,2,2022,58356
abr-22,4,2022,2500
may-22,5,2022,69870
jun-22,6,2022,2900
ago-22,8,2022,74410
oct-22,10,2022,3200
dic-22,12,2022,3500
feb-23,2,2023,4800
mar-23,3,2023,5200
abr-23,4,2023,5500
may-23,5,2023,5800
jun-23,6,2023,6200
jul-23,7,2023,6800
ago-23,8,2023,42737
sep-23,9,2023,44737
dic-23,12,2023,49737
feb-24,2,2024,52305
abr-24,4,2024,7987
jun-24,6,2024,60305
ago-24,8,2024,27970
oct-24,10,2024,66964
nov-24,11,2024,77625
dic-24,12,2024,53409
feb-25,2,2025,56905
mar-25,3,2025,56905
abr-25,4,2025,56905
sep-25,9,2025,165998
nov-25,11,2025,78999
ene-26,1,2026,91999
feb-26,2,2026,27178
mar-26,3,2026,95999
abr-26,4,2026,123761
